subject,soc_txt,pos_words,neg_words,sentiment_score,abs_score,n_val,length
15,"I remember Jacob being sweat tested for CF when he was 30 and how uncomfortable he felt amongst the other children in the waiting room.  How he was told by his nurse not to google CF; but he did before leaving the parking lot.  He worries it will pop up on him one day and always keeps it in the back of his mind.  He has a son; and can't help but fear every little cough.
He is not currently exhibiting any of the complications/symptoms of CF.  His wife's name is Sarah.  He wanted to join a support group for CF; but there are non out there because of the ease at which people with CF can get sick.  He seemed disappointed that the people in his life didn't see him as ""sick""; because the disease had not manifested itself in a way his friends and family could see. 
Laura was told her daughter had an abnormal newborn screen; she was assumed to have CF.  They drove 5 hours multiple times to a hospital M-something.  They live in Georgia. She fears for her daughters CF to be triggered and doesn't feel like she can leave her at daycare or even a family members home.  The treatments are expensive.  She found an abnormal stool in her daughters diaper and freaked out inside; though never told her husband.  The hospital said to just wait and see if any other symptoms show themselves.
Molly was hard for me to understand.  She lost someone who was on the transplant list and it caused her to rethink her previous ideas about being on the transplant list herself.  She had to undergo a lot of testing to be approved for the test and had a few hiccups along the way (Bacteria that was growing not compatible with transplants) But after 18 months they believe she is a good candidate for a lung transplant and is hopping her Christmas gift this year is to see her name go onto the transplant list.  She is determined not to go out without a fight.
Morgan started his story with a trip to the department store; his lungs caught a whiff of the perfume counter and started a tickling frenzy.  A woman gave him a look like he just coughed up the plague.  He responded; its not contagious; i just have CF.  Then went into all the things that ran through his head ""should I tell her?""  About all the friends ""brothers"" he's lost to CF already at age 20.  About what life is like with CF and not being able to life up to his fathers potential of being a hard working man because of his illness.  Of being in the hospital so frequently; the staff now feel like family. About how you appreciate the chirping of the birds in the morning and the sunrise; only to feel overcome by sadness remembering all those people you cared about who will never experience it again.  He shared thoughts of what it was like to stand/sit next to your friend and watch them die; all the while telling them to fight and that everything will be ok.
","['die', 'sick', 'friend', 'friends', 'sadness', 'cared', 'appreciate', 'fight', 'like', 'shared', 'lost', 'freaked', 'growing', 'hard', 'leave']","['leave', 'hard', 'growing', 'freaked', 'lost', 'shared', 'like', 'fight', 'appreciate', 'cared', 'sadness', 'friends', 'friend', 'sick', 'die']",0.4284,14.967399999999998,40.0,220.0
16,"Jacob was diagnosed later in life, and at 30, sat in a room after having gotten the sweat test - he had the ""mad scientest"" nurse who flipped the switch to ""electrocute him"" and once tehy werpaped him in guaze, he sat with a bunch of kids, which was awkward for him. He explained the difficulty of being diagnosed but not appearing sick, even for those who know that he's sick, them not acknowledging it. HE also explained his fear for his kid, every time the kiddo coughs. 
Laura shared that a week after her child's birth, the pediatrician's office called to say that something had come back from the newborn screen - she got worried, and wanted to know on the phone, but they said she had to go bakc. SHe shared that they went to the pediatrician's office and found out that her child had CF, though they didn't understand what it meant. They went to a specailist 5 hours away and found out that it wasn't direct CF, but something with a mutation toward it, and that with triggers, her child could develop CF. She explained the fears and concerns that go with it, including wehther to send hcild to daycare, or have her go to family member's houses out of fear. She also sahred that her child has shown a couple of symptoms - she appeared worried.
Molly's video was the hardest to watch and attend to because the audio didn't match the video and her eyebrows looked computer drawn on as opposed to real. 

She shared that she's waiting on a lung transplant after a friend died from CF. she shared taht she had to undergo a lot of testing, that she was initially denied a transplant because of bacteria, but that she's 18 months clear of it and undergoing testing again. She is doing it in memory of her deceased friend.
Morgan shared that in a department store, he walked by a fragrance counter which had a scent, which triggered a coughing spell. He said that a woman looked at him as if he'd spread the plague, and that he considered how to respond. In the poem he was reading, he expressed how he's witnessed so many people die, called other CF people his brothers and sisters, said that he lost a brother. He shared about the heartache of not knowing whether he'd live or die another day, and of loss. He talked about being in the hospital, and the comraderie of others who are going through the same disease. He also shared about the joy of waking up knowing he was alive, and of being able to appreciate it. In the end, he chose to smile at the woman in the department store and walk away. 
","['die', 'joy', 'died', 'sick', 'friend', 'denied', 'fears', 'appreciate', 'alive', 'smile', 'shared', 'loss', 'worried', 'awkward']","['awkward', 'worried', 'loss', 'shared', 'smile', 'alive', 'appreciate', 'fears', 'denied', 'friend', 'sick', 'died', 'joy', 'die']",-1.3621000000000003,12.322899999999995,30.0,201.0
19,"I remember that this patient was told when he was 30 that he had the CF disease. He recalled being to not google cystal fibrosous and to only look at the foundation website for information. He then immediately went to the wiki page and realised that it was a mistake. He felt scared at the information. He then went on to talk about the sweat test that he had to go through. This was where he had what looked like a car battery attached to his arm with jumper cables, and he had an electric current go through both his arms for 10 minutes each. He then had both arms wrapped in gauze and had to wait in the waiting room with several kids, where he felt uncomfortable. He ended with how hard it was for people with CF because people don't sympathize because he doesn't ""look"" sick.
This woman was told that her newborn baby of a week old had abnormal results from a certain test and that she should come in immediately. She was told that her daughter carried the gene for CF disease and that she was a carrier. This was at the local hospital, and several weeks later, her husband and her went to the bigger hospital at Augusta, where they found out more information. With better testing, they were told that her daughter showed signs of carrying the disease, and that symptoms would only show up if triggered, or maybe not at all. She goes on to talk about how stressful and hard their lives were following this, how they were scared any little thing might trigger her disease, and how financially straining their lives had become.
This girl's friend who also suffered from CF disease had just previously died while waiting for a transplant. She talks about how she hadn't previously been that proactive bout getting transplants and working towards curing herself, but that this recent event motivated her to do so. She talked about how she began taking tests and how she had to wait for a year and a half to be eligible for a transplant. She talked about the numerous types of tests she had to go through up until the point of her transplant.
This was the first video. He told a story about when he was in a grocery line, and something triggered his CF disease. A lady nearby him looked worried, and he began to think about all the things he would like to explain to her about the disease he suffered from. He then goes on a very emotional and poetic rant on all the things he wished he could tell this woman. He talks about all of the many struggles he has faced, the loved ones he's seen die in front of him, and the abnormal amount of pain he has gone through for a person of his age. This was very emotional as he began to cry thinking about all of his loved ones that he has seen suffer. He then says that he didnt say any of this stuff to the woman and that he just smiled and walked away.

","['loved', 'died', 'smiled', 'pain', 'suffered', 'cry', 'motivated', 'scared', 'proactive', 'uncomfortable', 'struggles', 'rant', 'straining', 'worried', 'certain', 'emotional', 'hard']","['hard', 'emotional', 'certain', 'worried', 'straining', 'rant', 'struggles', 'uncomfortable', 'proactive', 'scared', 'motivated', 'cry', 'suffered', 'pain', 'smiled', 'died', 'loved']",-2.9613,12.6763,31.0,210.0
20,"Jacob is older, but carries a CFTR genetic mutation. he thought he was just a carrier, but recently found out that he may have the disease. He is dealing with how to cope with the disease
Laura just had a child who may develope CF symptoms. she talks about testing and how it is difficult because where she is from, people do not know very much about the disease. She also lives far away from the hospital, so treatment is difficult
Molly is talking about the process behind getting a lung transplant. she recently realized she should work to get a transplant. she talks about all the testing required before getting cleared for the surgery
Morgan gives an emotional rant-style monologue about how it feels to be a CF patient. How he sees societal judgement and what he thinks compared to normal people in society
","['difficult', 'rant', 'emotional', 'cleared']","['cleared', 'emotional', 'rant', 'difficult']",-0.8066,1.3182,5.0,68.0
22,"Jacob spoke about his own personal experience with CF, and he began by saying something about how someone (?) told him you should NOT google CF, and then he did it anyway and he was freaked out. He spoke in a more personal way than the others (in my opinion), and showed a couple of images that I felt made the story more engaging (although I can't honestly remember what they were - the first one was his arm with an IV I think?). I liked his story the most because he spoke about it sort of as a storyline, and he seemed the most like me in personality. I know he talked about how it was tough because people don't really think of you as sick, when in fact you are.
Honestly do not remember anything, except I liked her and related to her. Since this was the first video I was distracted by other things like her surroundings. She talked about a family member who had CF, right? And at the beginning she said something about how they were diagnosed as a newborn I think?
Ugh, I don't remember anything this girl said except that I found her voice really annoying and she continued to repeat ""cystic fibrosis"" in every single sentence. I stopped listening to her pretty early on because she was boring me. =/
This guy bothered me right off the bat because I couldn't tell if what he was doing was poetry or just reading prose off a piece of paper - either way, both things that I don't like - and I think that if you are trying to do something artistic, then the eye contact is so important, and he missed the mark there. He recited a poem about what it was like to have CF, and I remember it got more emotional, in a sort of angry way, at the end. It was something about how somebody asked him what having CF was like, I think? And then he had some repetition that I can't remember, like ""Having cystic fibrosis..."" blabla, and each line started with that. He also coughed a few times throughout, which I actually found more powerful than anything he said, because that brought his CF diagnosis to the forefront.
","['angry', 'pretty', 'honestly', 'powerful', 'annoying', 'like', 'distracted', 'bothered', 'missed', 'stopped', 'important', 'emotional', 'tough', 'sentence']","['sentence', 'tough', 'emotional', 'important', 'stopped', 'missed', 'bothered', 'distracted', 'like', 'annoying', 'powerful', 'honestly', 'pretty', 'angry']",1.8485,9.383100000000002,27.0,150.0
25,"Jacob from what I gathered carries the mutation (recessive?), but does not have the disease. He feels bitter about it and towards his family and friends who don't seem to understand or care. He has a child that is not positive for CF but still worries.
Lauras daughter was diagnosed with CF shortly after birth. She has the form that is (recessive?) she may or may not develop symptoms. Laura was initially told that her daughter would only live to 35-40 but that diagnosis seemed to change with the further understanding that she is not a full blown CF patient. They travel 5 hours to get their daughter to a hospital that can deal with her CF. The baby had fatty stool which was a first symptom. They were traveling 5 hours every 1-2 months for testing.
Molly is awaiting news from testing that she had done to see if she is a candidate for a transplant. Initially she wasn't due to an infection that she had. But once she was clear she went through the testing and is in the waiting process.
Morgan talks about having a coughing fit in a department store when he smelled a perfume called Delicious. A lady looked at him like he had the plague and he goes on to explain how he told her he had a lung disease, but he really wanted to tell her the truth about CF. He goes on to describe in detail the pain; emotionally, mentally and physically that he must endure day after day.
","['delicious', 'positive', 'pain', 'care', 'friends', 'worries', 'clear', 'like', 'truth']","['truth', 'like', 'clear', 'worries', 'friends', 'care', 'pain', 'positive', 'delicious']",2.1687,4.8759000000000015,11.0,108.0
26,"i remember him saying that nobody thinks of him as 'sick' really as he didn't show many symptoms. 
she had to travel 5 hrs to a hospital and do this very often with a toddler.
i remember her talking about all the appointment - and how expensive everything was - medicine, tests - and how insurance doesn't always cover everything.  and it is all very draining.  emotionally and financially.
i could't hear almost any of what she said.   her voice was very quiet, my volume was on t he loudest.  and she had an accent so i unfortunately missed most of what she said.  she looked very sad and i caught that she was talking about different tests she needed done and how awful it was for her.  
he was in the store, and wanted to tell the woman who worked there all about CF, and how the smallest thing can make somebody w/ CF sick,  and how it's so hard to have a relationship w/ somebody w/ CF - as they die at a young age.  and it's reallly hard to be involved w/ somebody who has it.  he seemed angry.  in the end he just smiled at the woman.  and didn't tell her all of this.  
","['die', 'smiled', 'angry', 'sad', 'awful', 'unfortunately', 'missed', 'hard']","['hard', 'missed', 'unfortunately', 'awful', 'sad', 'angry', 'smiled', 'die']",-3.365800000000001,4.4504,11.0,75.0
27,"He talked about going to a children's hospital to get testing done. They strapped his arm to a car battery looking thing and electrocuted him for 10 minutes, then the doctor switched the setup to his other arm. Next he said he sat in the waiting room for 30 minutes was gauze wrapped around his wrist. After 30 minutes they took a sample of gauze for testing for sodium chloride levels.
Laura talked about her newborn childhood who likely had CF. She described how she had to drive 5 hours to see a doctor because there aren't many CF doctors in Georgia. She talked about how she had to drive her infant daughter 5 hours to a hospital multiple times a year for tests and observations.
Molly talked about the process of getting a lung transplant. One of her friends had recently passed away due to CF complications, and Molly decided she needed to do something about her own CF condition. She described how getting on the transplant list involved lots of tests and experiments to make sure her body was ready for such a procedure. She ended by saying she passed and is now on the transplant list.
Morgan's video was a spoken-word style piece. He described how a perfume at a department store caused a coughing attack that worried another customer at the store. He went into a long monologue about what it's like to live with CF and all the unforeseen things associated with the disease. His main message was that we should all be happy to be alive everyday.
","['happy', 'attack', 'alive', 'like', 'sure', 'worried']","['worried', 'sure', 'like', 'alive', 'attack', 'happy']",1.6983,3.2437,8.0,128.0
30,"THE DISEASE MADE HIM FEEL ISOLATED, AS THERE ARE NOT REALLY ANY SUPPORT GROUPS AND PEOPLE DO NOT THINK OF HIM AS SICK. ONE OF HIS FIRST MEMORIES OF IT WAS BEING HOOKED UP TO SOMETHING THAT LOOKED LIKE A CAR BATTERY AND BEING ELECTROCUTED FOR TEN LONG MINUTES ON EACH ARM, THOUGH HE HAD A TV TO DISTRACT HIM. HE WAS THEN GIVEN GAUZE TO SWEAT INTO IN A ROOM WITH A FEW CHILDREN. HE IS TERRIFIED THAT HIS SON WILL GET IT AND CURES HIMSELF BY MAINTAINING A HEALTHY LIFESTYLE. 
SHE MADE MANY FIVE HOUR CAR JOURNEYS WITH HER KID, FELT DRAINED FINANCIALLY AND EMOTIONALLY, CAR JOURNEYS ARE VERY LONG FOR SMALL CHILDREN, SHE REALLY EMPATHIZED WITH OTHER PARENTS WHO HAD TO CHECK ON THEIR KIDS CONSTANTLY AND GET MANY TESTS. 
HER FRIEND WHO ALSO SUFFERED FROM THE DISEASE PASSED AWAY RECENTLY AT THE AGE OF 20, WHICH MADE HER SIGN UP AND DO TESTS TO GET A LUNG TRANSPLANT, WHICH SHE FINDS OUT AOUT ON THURSDAY AND WOULD BE THE BEST CHRISTMAS PRESENT EVER. 
HE STARTED HAVING A SEIZURE FROM A PERFUME AND THE PERSON LOOKED AT HIM AS THOUGH HE HAD BLACK LUNG. HE FEELS SUICIDAL AND DEPRESSED AND HAS EXPERIENCED MORE LOSSES THAN MOST PEOPLE WOULD IN FOUR LIFE TIMES, BUT THE OTHER SIDE OF THE COIN IS THAT HE REALLY APPRECIATES THE NOISY BIRDS IN THE MORNING AND MAKES THE MOST OF EVERYTHING. IN THE END HE JUST SMILED AND WALKED AWAY FROM THE SALESPERSON. HE MISSES HIS BROTHER. 
","['suicidal', 'best', 'terrified', 'smiled', 'appreciates', 'suffered', 'losses', 'drained', 'isolated', 'distract', 'misses', 'noisy']","['noisy', 'misses', 'distract', 'isolated', 'drained', 'losses', 'suffered', 'appreciates', 'smiled', 'terrified', 'best', 'suicidal']",-1.2308,7.928200000000001,18.0,119.0
32,"Jacob is a carrier for CF. He was tested when he was 30 years old. He had the sweat test done. He is concerned for his daughter because he is a carrier, but he knows that she will not have it because his wife Sarah is not a carrier. He and his wife would both have to be carriers for his daughter to have CF. However, that does not keep him from worrying about her every time she coughs.
Lauras daughters newborn screening came back abnormal. A week after she was born her husband was sitting down with the doctor and told them that their daughter would not live back 35 because she had CF. Now doctors in her area were not all that educated on CF so they drove 5 hours to Augusta, GA to have their daughter checked. They found out that there was not a lot known about her daughters specific genetic mutation. What they did know was that there was a possibility that her daughter may have no symptoms, some symptoms, or sever symptoms. So every 2-3 months for the first year and a half of her daughters life they traveled to Augusta to have her checked. She now has some symptoms of CF and they are monitoring it.
Molly is currently working on being put on a transplant list. For the longest time she did not want a transplant, but watching her friend Emma pass away at 20 made her rethink her decision. So she started the process, at first she wasn't cleared by doctors because of an infection that she had, but she has been 18 months clean from that infection and is now almost finished with the process to be put on the transplant list. 
Morgan has CF and has lost many people in his life to CF including his brother. He did spoken word about CF and how he feels living with CF. If he could tell the whole world had hard life with CF is he would but he feels they still wouldn't understand.
","['friend', 'clean', 'worrying', 'lost', 'hard', 'want']","['want', 'hard', 'lost', 'worrying', 'clean', 'friend']",0.3148,1.8366,7.0,131.0
